Unnamed: 0,rating,review,Processed_Review,Sentiment
1437,1,"they don't deliver certain items but charge you money, cheater hote special Ankit. <br/>never order from this restaurant, zamato should remove this hotel from the  list. ",deliver certain item charge money cheater hote special ankit br never order restaurant zamato remove hotel list,POSITIVE
1438,5,"worst hotel of Surat, cheater",worst hotel surat cheater,NEGATIVE
1439,1,"!!! Don’t ORDER !!!<br/>chicken tandoori was half cook, owner refuse to refund or replace. i advance don’t order from this place. <br/>also zomoto did not wanted to refund they said they only delivery partner but they forget its they who charge for them. indirectly zomoto is responsible for such food. <br/>i will file legal complain against both in decent time for not been responsible for there own restaurant &amp; partnership of delivery.",order br chicken tandoori half cook owner refuse refund replace advance order place br also zomoto wanted refund said delivery partner forget charge indirectly zomoto responsible food br file legal complain decent time responsible restaurant amp partnership delivery,NEGATIVE
1440,5,rice cooked nahi the properly ,rice cooked nahi properly,NEUTRAL
1441,5,m too much dissatisfied with Crave In being a regular customer still the donot give a shit about anything<br/>saala kuch bhi bhej do and customer ko chu bana do,much dissatisfied crave regular customer still donot give shit anything br saala kuch bhi bhej customer ko chu bana,NEGATIVE
1442,4,It tasted so bad,tasted bad,NEGATIVE
1443,5,Order not complete,order complete,NEUTRAL
1444,1,nice taste of biryani ,nice taste biryani,POSITIVE
1445,1,good ,good,POSITIVE
1446,1,average ,average,NEUTRAL
1447,5,Exilent,exilent,NEUTRAL
1448,1,nice ,nice,POSITIVE
1449,1,?,,NEUTRAL
1450,1,very gud,gud,NEUTRAL
1451,5,good ,good,POSITIVE
1452,1,worst pizza ever .. don't bluff customers ,worst pizza ever bluff customer,NEGATIVE
1453,5,Billing amount is different with payable amount. INR 246  is billing amount where payable amount is INR 305. Why so?,billing amount different payable amount inr billing amount payable amount inr,NEUTRAL
1454,4,nice,nice,POSITIVE
1455,5,worst ever taste and quality.,worst ever taste quality,NEGATIVE
1456,3,worst chicken.. will never by buy again...,worst chicken never buy,NEGATIVE
1457,1,test is good ,test good,POSITIVE
1458,5,amazing test,amazing test,POSITIVE
1459,2,very tasty 😋 pizza 🍕,tasty pizza,NEUTRAL
1460,5,Overall very nice food.,overall nice food,POSITIVE
1461,1,no is not good and is very cold i m not happy 😔,good cold happy,POSITIVE
1462,4,good service,good service,POSITIVE
1463,1,Food is not gud,food gud,NEUTRAL
1464,4,very bed West money,bed west money,NEUTRAL
1465,1,jaisa test hona chahiye wesa nhi tha or mene 2 ordar kiya tha eik hi aya ,jaisa test hona chahiye wesa nhi tha mene ordar kiya tha eik hi aya,NEUTRAL
1466,1,very slow services ,slow service,NEUTRAL
1467,1,Wont order from this restaurant,wont order restaurant,NEUTRAL
1468,5,givvivu,givvivu,NEUTRAL
1469,4,low quality and High price,low quality high price,NEGATIVE
1470,3,ur food item is very good taste,ur food item good taste,POSITIVE
1471,5,good test,good test,POSITIVE
1472,3,improve taste nd quantity against Rate u r taking from customer,improve taste nd quantity rate u r taking customer,POSITIVE
1473,5,only pieces of chicken look like a greay and bread,piece chicken look like greay bread,POSITIVE
1474,1,"We were expecting wheat roti, got maida roti. Good spicy chicken, enough for 2 people. ",expecting wheat roti got maida roti good spicy chicken enough people,POSITIVE
1475,4,The packing was wet. The chicken was wet. Had to throw the whole thing away.,packing wet chicken wet throw whole thing away,NEUTRAL
1476,4,"no taste ,not enoght masala,waste of money i dont order again.",taste enoght masala waste money dont order,NEGATIVE
1477,1,not worth the money better to sell it at 150 that 298<br/>watery Dall sweet chicken mada rote . and full of disappointments <br/>you will not get an order from me ever again    <br/>☮️,worth money better sell br watery dall sweet chicken mada rote full disappointment br get order ever br,POSITIVE
1478,5,bad taste of sabji...stale food,bad taste sabji stale food,NEGATIVE
1479,1,Superb fast delivery,superb fast delivery,POSITIVE
1480,1,Food quality wasn't as expected. Not worth for money. Delivery was also delayed,food quality expected worth money delivery also delayed,NEUTRAL
1481,1,रोटी कच्चा पनीर सbji not good taste. Disappointed,र ट कच च पन र सbji good taste disappointed,NEGATIVE
1482,1,Packing of food is not as per quality.,packing food per quality,NEUTRAL
1483,1,without packing / carry bag only thali delivered<br/><br/>spoon need to be provide<br/><br/>delay in delivery<br/><br/>delivery boy do not wear uniform,without packing carry bag thali delivered br br spoon need provide br br delay delivery br br delivery boy wear uniform,NEGATIVE
1484,2,Bhot late delivery huva,bhot late delivery huva,NEUTRAL
1485,3,it wasn't as before.,,NEUTRAL
1486,2, not sabji like as paneer tikka,sabji like paneer tikka,POSITIVE
1487,3,packing sahi nahi thi carry bag nahi diye,packing sahi nahi thi carry bag nahi diye,NEUTRAL
1488,1,bad,bad,NEGATIVE
1489,1,overpriced ,overpriced,NEUTRAL
1490,1,please increase the no. of rotties and size of kulcha ,please increase rotties size kulcha,POSITIVE
1491,1,food plate was not in the plastic bag and there was no mukhvas in the plate,food plate plastic bag mukhvas plate,NEUTRAL
1492,4,Nice taste,nice taste,POSITIVE
1493,5,kadai chicken is to salty,kadai chicken salty,NEUTRAL
1494,2,Such an authentic taste!!!,authentic taste,NEUTRAL
1495,1,chicken curry too much salty,chicken curry much salty,NEUTRAL
1496,4,roti or salad kam aaya tha .,roti salad kam aaya tha,NEUTRAL
1497,1,okay ,okay,POSITIVE
1498,1,paneer taste was worst,paneer taste worst,NEGATIVE
1499,3,Good 👍,good,POSITIVE
1500,3,GOOD SERVICE ,good service,POSITIVE
1501,1,the item I have oder i didn't get the same item,item oder get item,NEUTRAL
1502,3,no spoon available. rice qty not as per picture shown in app. overall taste is good 😊,spoon available rice qty per picture shown app overall taste good,POSITIVE
1503,4,spoon not available ,spoon available,NEUTRAL
1504,1,food is good but rice not perfect,food good rice perfect,POSITIVE
1505,3,overall quantity is quite Less and also paratha size and Roti size are very small compared to regular rotis,overall quantity quite less also paratha size roti size small compared regular rotis,NEUTRAL
1506,3,very less quantity ,less quantity,NEUTRAL
1507,5,good ,good,POSITIVE
1508,3,No Taste...very Bad...Money waste,taste bad money waste,NEGATIVE
1509,3,vey fast person,vey fast person,NEUTRAL
1510,5,Dish is tastesless... and roti is hard to eat and dry.... ,dish tastesless roti hard eat dry,NEGATIVE
1511,2,service excellent food was not good,service excellent food good,POSITIVE
1512,4,rate is too high as per quality rate is too high. i thik the plate was maximum 125 to 150,rate high per quality rate high thik plate maximum,NEUTRAL
1513,1,Bhangar thali ….. badhu kachu hatu,bhangar thali badhu kachu hatu,NEUTRAL
1514,1,Vaahiyaat ! Most worst thali I had !!,vaahiyaat worst thali,NEGATIVE
1515,4,delicious food ,delicious food,POSITIVE
1516,3,too salty,salty,NEUTRAL
1517,2,service quality of staff was good,service quality staff good,POSITIVE
1518,4,Wrong order delivered,wrong order delivered,NEGATIVE
1519,4,nice 👍,nice,POSITIVE
1520,1,Total tasteless foood<br/>not to order from this restaurant for sure,total tasteless foood br order restaurant sure,POSITIVE
1521,5,"A total waste of time &amp; money as All repeat ALL items were totally tasteless, bad quality / selection of vegetables, Watery &amp; tasteless Dal, Awful Pulav. Fasting is better than ordering here.",total waste time amp money repeat item totally tasteless bad quality selection vegetable watery amp tasteless dal awful pulav fasting better ordering,NEGATIVE
1522,5,gulab jamun was given and restaurant and delivery partner both denied and said it was given,gulab jamun given restaurant delivery partner denied said given,NEGATIVE
1523,1,Value for money💸,value money,POSITIVE
1524,1,Quality bigad diye pehle se,quality bigad diye pehle se,NEUTRAL
1525,1,No proper packaging of food.,proper packaging food,NEUTRAL
1526,1,Kindly issue us a refund for an order which is written something else and comes out to be something else.,kindly issue u refund order written something else come something else,POSITIVE
1527,4,ok,ok,POSITIVE
1528,1,very good 👍 sarvice ,good sarvice,POSITIVE
1529,3,"The order was not good and it all went waste , we wasted our money it seems!",order good went waste wasted money seems,NEGATIVE
1530,1,paneer was stale nd bad in taste so dry hard to chew will never order again from.Table talk ,paneer stale nd bad taste dry hard chew never order table talk,NEGATIVE
1531,1,Truly worth it,truly worth,POSITIVE
1532,4,They followed instructions.<br/>I didn’t had any cutlery with me to eat. They packed very well and sent to me. <br/>Thank You.,followed instruction br cutlery eat packed well sent br thank,POSITIVE
1533,4,chutney's are 1spoon only with dosa bit broken from first side,chutney spoon dosa bit broken first side,NEGATIVE
1534,3,amazing test tha ..   itna testi khbi nhi khya ,amazing test tha itna testi khbi nhi khya,POSITIVE
1535,2,"I told them to follow instructions but they didn’t and they never do , I told them to not put onion garlic yet they didn’t read instructions",told follow instruction never told put onion garlic yet read instruction,NEUTRAL
1536,1,packing nd taste is 👍 ,packing nd taste,NEUTRAL
1537,5,sambhar is missing ,sambhar missing,NEGATIVE
1538,5,packing thik se pack kare rider jab bike chalata hai to sab kharab ho jata hai ,packing thik se pack kare rider jab bike chalata hai sab kharab ho jata hai,NEUTRAL
1539,5,Please note what the orders,please note order,POSITIVE
1540,1,taste was good 👍 ,taste good,POSITIVE
1541,4,I tried first time n it is awesome,tried first time n awesome,POSITIVE
1542,1,packing was awesome taste was average ,packing awesome taste average,POSITIVE
1543,1,Aloo bhaaji was tasting foul,aloo bhaaji tasting foul,NEUTRAL
1544,5,Good,good,POSITIVE
1545,3,mysore masala order kiya tha <br/>masala dosa àya,mysore masala order kiya tha br masala dosa àya,NEUTRAL
1546,5,sambar and coconut chutney less quantity ,sambar coconut chutney less quantity,NEUTRAL
1547,5,papad is missing,papad missing,NEGATIVE
1548,5,Sambhar quantity is less<br/>Rest all is good,sambhar quantity less br rest good,POSITIVE
1549,1,sambhar khatta tha ..not as usual.. sometimes tasty and when  order with craving..it destroys with cruelty,sambhar khatta tha usual sometimes tasty order craving destroys cruelty,NEGATIVE
1550,2,"There were whole peppercorns in the dosa which is what ruined the entire dosa. Also too many onions. The rava masala dosa itself is so good but the aforementioned kinda ruined it. The star was coconut chutney, it’s amaZing keep it up. The sambhar needs improvement.",whole peppercorn dosa ruined entire dosa also many onion rava masala dosa good aforementioned kinda ruined star coconut chutney amazing keep sambhar need improvement,POSITIVE
1551,1,"Sometimes they don't follow the instructions, we have to call and tell aggresively to add extra Items.<br/>but Best Packaging and Fresh Food.",sometimes follow instruction call tell aggresively add extra item br best packaging fresh food,POSITIVE
1552,5,Everything was very Good and the Quantity is also enough for 2 peoples<br/>Really proper and pure South Indian taste after a long long time👍👍,everything good quantity also enough people br really proper pure south indian taste long long time,POSITIVE
1553,5,no olives this time ,olive time,NEUTRAL
1554,5,The food overall was not upto the mark. The gravy was too thin and the starter were not out of box they were below average,food overall upto mark gravy thin starter box average,NEUTRAL
1555,1,"quantity is lesser, you can increase portion size",quantity lesser increase portion size,POSITIVE
1556,4,ordered chicken tikka masala. the taste of the gravy was good. but chicken was a but uncooked and raw. quality of chicken ws also not good.,ordered chicken tikka masala taste gravy good chicken uncooked raw quality chicken w also good,POSITIVE
1557,1,we been having butter chicken at this place since the longest time. the taste was completely off. Not worth ordering at home.,butter chicken place since longest time taste completely worth ordering home,POSITIVE
1558,3,Not full quality in the box<br/>just 2 to 4 piece i have received ,full quality box br piece received,NEUTRAL
1559,2,I told not to send the bill still you sent the bill sticking on the box.,told send bill still sent bill sticking box,NEUTRAL
1560,5,food was good. quantity was not as per price . ,food good quantity per price,POSITIVE
1561,4,Good packaging &amp; good quality food. Overall nice experience,good packaging amp good quality food overall nice experience,POSITIVE
1562,1,"worst experience my total order bill was 358 rs which was charged from zomato that is for two people what the hell is wrong with these people charging so much and it was fully oily and no chicken piece , please dont order or else you will regret",worst experience total order bill r charged zomato two people hell wrong people charging much fully oily chicken piece please dont order else regret,NEGATIVE
1563,2,Chicken pcs in biryani was uncooked,chicken pc biryani uncooked,NEUTRAL
1564,4,fried rice was tasteless<br/>chicken was bland,fried rice tasteless br chicken bland,NEUTRAL
1565,5,Didn’t read comments of my order though food was good,read comment order though food good,POSITIVE
1566,5,Quantity was less than expected. ,quantity less expected,NEUTRAL
1567,5,Very Late delivery and not good  packaging an requested to restaurant for little onion slice but they won’t sent,late delivery good packaging requested restaurant little onion slice sent,POSITIVE
1568,1,very less portion and chicken ,less portion chicken,NEUTRAL
1569,3,Mutton rogan josh was oily try to use less oil,mutton rogan josh oily try use less oil,NEUTRAL
1570,1,I wast my money...only 4 pice chiken this dish....test was not good...my 350 rs is wast....pls dont buy...😡😡😡😡,wast money pice chiken dish test good r wast pls dont buy,POSITIVE
1571,2,quantity was less,quantity less,NEUTRAL
1572,1,qty served was too less recommend to eat at restaurant,qty served less recommend eat restaurant,POSITIVE
1573,1,delivery boys is  very good.,delivery boy good,POSITIVE
1574,1,Less qty,less qty,NEUTRAL
1575,4,the garlic bread is burnt !!<br/>pastas are bland. no flavour ,garlic bread burnt br pasta bland flavour,NEUTRAL
1576,1,bad experience ,bad experience,NEGATIVE
1577,5,as always good food,always good food,POSITIVE
1578,1,quantity and quality is very low and even the taste also bad smell is coming from food <br/>I need my money refund now,quantity quality low even taste also bad smell coming food br need money refund,NEGATIVE
1579,3,pls gve d quantity ,pls gve quantity,POSITIVE
1580,5,worst food<br/>&amp; the quantity was to less.<br/>,worst food br amp quantity less br,NEGATIVE
1581,5,Very small quantity of food compared to the price tag Rs299.,small quantity food compared price tag r,NEUTRAL
1582,5,Not worthy<br/>,worthy br,POSITIVE
1583,1,quantity is very small,quantity small,NEUTRAL
1584,1,good ,good,POSITIVE
1585,5,good ,good,POSITIVE
1586,5,It’s very good.,good,POSITIVE
1587,4,ok,ok,POSITIVE
1588,2,Tasteless,tasteless,NEUTRAL
1589,1,due to late delivery ,due late delivery,NEUTRAL
1590,1,good delivery 😊,good delivery,POSITIVE
1591,5,it's 😋,,NEUTRAL
1592,1,Good test 🥰,good test,POSITIVE
1593,1,good ,good,POSITIVE
1594,3,Manchurian Quality was not good ,manchurian quality good,POSITIVE
1595,1,nice taste delevery man is also very nice food is also nice &amp; hot,nice taste delevery man also nice food also nice amp hot,POSITIVE
1596,5,Everything is bad,everything bad,NEGATIVE
1597,5,bill not given by restaurant.<br/>no zomato seal on order.<br/>it is dilama that order is actual from restaurant or not ?,bill given restaurant br zomato seal order br dilama order actual restaurant,NEUTRAL
1598,5,awesome ,awesome,POSITIVE
1599,5,Not so good! <br/>why cabbage in Frankie 😵‍💫,good br cabbage frankie,POSITIVE
1600,3,I am not happy your food packaging,happy food packaging,POSITIVE
1601,5,I will never add from here again.,never add,NEUTRAL
1602,5,loved it,loved,POSITIVE
1603,5,Packing very bad,packing bad,NEGATIVE
1604,1,Cheese maza aa gya value for money,cheese maza aa gya value money,POSITIVE
1605,5,very good item and hot item deliver . <br/>very good package<br/><br/>,good item hot item deliver br good package br br,POSITIVE
1606,4,"thank You, it was nice",thank nice,POSITIVE
1607,5,it's too much yummy 😋<br/>thanks for making it as per instruction I given on call.,much yummy br thanks making per instruction given call,POSITIVE
1608,5,ketchup not therr,ketchup therr,NEUTRAL
1609,4,yummy frankie,yummy frankie,POSITIVE
1610,4,allo ki tiki hoti he na ki aloka mava bharte he 🤬,allo ki tiki hoti na ki aloka mava bharte,NEUTRAL
1611,1,Not a send ketchup with frankie and packing is very poor arriving frankie in transparent plastic bag very disappointed,send ketchup frankie packing poor arriving frankie transparent plastic bag disappointed,NEGATIVE
1612,1,🤩,,NEUTRAL
1613,5,perfect test ,perfect test,POSITIVE
1614,1,packaging was worst 👎,packaging worst,NEGATIVE
1615,5,good,good,POSITIVE
1616,1,good,good,POSITIVE
1617,1,I don't even get catch-up with it.🙄 Very disappointed with this. ,even get catch disappointed,NEGATIVE
1618,5,aflatun,aflatun,NEUTRAL
1619,1,worthy it was ...,worthy,POSITIVE
1620,5,😋🤤,,NEUTRAL
1621,5,If i am paying for customization then things need to given too,paying customization thing need given,NEUTRAL
1622,5,my name was not written ,name written,NEUTRAL
1623,3,great packaging for home delivery ,great packaging home delivery,POSITIVE
1624,1,worst service n taste,worst service n taste,NEGATIVE
1625,1,Enjoyed the cappuccino as always! Packaging was brilliant and delivery was on time.,enjoyed cappuccino always packaging brilliant delivery time,POSITIVE
1626,5,Pleaase provide proper packing,pleaase provide proper packing,NEUTRAL
1627,5,Chai tea latte tasted like diluted milk.!!! There was  no flavor at all.<br/>Java chip Frappuccino tasted like bubble gum flavored Frappuccino..!!!,chai tea latte tasted like diluted milk flavor br java chip frappuccino tasted like bubble gum flavored frappuccino,POSITIVE
1628,4,Please add the option for classic cold coffee in the menu. It’s a request.,please add option classic cold coffee menu request,POSITIVE
1629,1,Did not follow the instructions!,follow instruction,NEUTRAL
1630,3,"loaded with only ice , when i have told low ice",loaded ice told low ice,NEGATIVE
1631,3,They didnt add the Hazelnut syrup i had ordered and paid for,didnt add hazelnut syrup ordered paid,NEUTRAL
1632,5,excellent taste ,excellent taste,POSITIVE
1633,5,Awesome  taste ENJOYED  VERY MUCH <br/>W,awesome taste enjoyed much br w,POSITIVE
1634,3,too bad,bad,NEGATIVE
1635,4,drnik without straw ,drnik without straw,NEUTRAL
1636,4,not value for money not at all good ,value money good,POSITIVE
1637,5,"received some other drink instead of ordered one, that too didn’t enjoyed even not followed the instructions mentioned during placing order.",received drink instead ordered one enjoyed even followed instruction mentioned placing order,POSITIVE
1638,4,pathetic,pathetic,NEGATIVE
1639,5,Very bad quality and taste,bad quality taste,NEGATIVE
1640,1,i added a birthday wish but it wasn't there in the parcel ,added birthday wish parcel,POSITIVE
1641,1,very very disappointing <br/>,disappointing br,NEGATIVE
1642,1,Coffee at Starbucks is definitely good but things could have been a bit better. Would suggest you to add extra things according to your preference to make it great.,coffee starbucks definitely good thing could bit better would suggest add extra thing according preference make great,POSITIVE
1643,1,You have not added pre added sugar.,added pre added sugar,NEUTRAL
1644,1,Very sweet no taste of coffee <br/>Total waste of money,sweet taste coffee br total waste money,POSITIVE
1645,2,great,great,POSITIVE
1646,1,Bittersweet,bittersweet,NEGATIVE
1647,1,the hot chocolate was spill out of the cup and it was completed empty!!!!😤😤😤 the worst service.,hot chocolate spill cup completed empty worst service,NEGATIVE
1648,1,average packaging ,average packaging,NEUTRAL
1649,5,excellent packaging 😍<br/>and it tastes amazing 😍,excellent packaging br taste amazing,POSITIVE
1650,3,zomato boy behaviour is very bad 2nd time bad experience,zomato boy behaviour bad nd time bad experience,NEGATIVE
1651,1,How can we eat without spoon??? You didn’t even send cutlery 🍴 very poor service,eat without spoon even send cutlery poor service,NEGATIVE
1652,1,Got half of my order didn’t gwt fat burner and took the whole money pathetic service,got half order gwt fat burner took whole money pathetic service,NEGATIVE
1653,1,Cup was small instead of regular and i paid 260 for 1 cup,cup small instead regular paid cup,NEUTRAL
1654,5,very less quantity as compared to others ,less quantity compared others,NEUTRAL
1655,1, I was charged 379 for full biryani and the quantity is very very less. Not even enough for one person. Taste was not good. Isse acha to ghar pe dal bhat hai bhai. Don't ruin your mood.,charged full biryani quantity less even enough one person taste good isse acha ghar pe dal bhat hai bhai ruin mood,NEGATIVE
1656,5,Plain blend rice with some veggies and some paneer pieces feels like hospital food,plain blend rice veggie paneer piece feel like hospital food,POSITIVE
1657,1,the restaurant did not gave cutlery instead of delivery partner asking for it ,restaurant gave cutlery instead delivery partner asking,NEUTRAL
1658,5,its good in taste...,good taste,POSITIVE
1659,4,Trotrillas was not  fresh at all which happens often times,trotrillas fresh happens often time,POSITIVE
1660,1,worst experience ever!!!,worst experience ever,NEGATIVE
1661,5,test ok but qty less,test ok qty less,POSITIVE
1662,5,JUST MAINTAIN  QUALITY  AND TASTE,maintain quality taste,NEUTRAL
1663,1,The food is really tasty and yummy but it's a bit over priced.,food really tasty yummy bit priced,POSITIVE
1664,1,They give so less food jab vaha jate he vaha acha hota he par Zometo me bahot kam bhejte he khana pese west he,give less food jab vaha jate vaha acha hota par zometo bahot kam bhejte khana pese west,NEUTRAL
1665,1,The best cafe in adajan had ordered for the first time the quality of the food was outstanding the chicken skillet was so yummy.,best cafe adajan ordered first time quality food outstanding chicken skillet yummy,POSITIVE
1666,1,What should I say the best place for both veg and non veg food good staf service rates are not that high,say best place veg non veg food good staf service rate high,POSITIVE
1667,1,"Very good quality food, good staf behavior just try went to this cafe fir the 1st time and became fan",good quality food good staf behavior try went cafe fir st time became fan,POSITIVE
1668,1,"very bad experience, rider came very late, delivery was very late",bad experience rider came late delivery late,NEGATIVE
1669,1,please use proper amount of veggies in salad.,please use proper amount veggie salad,POSITIVE
1670,1,Great service and were very friendly atmosphere was awesome and i definitely liked that most important every food and drink on menu taste great,great service friendly atmosphere awesome definitely liked important every food drink menu taste great,POSITIVE
1671,3,Loved it. Food is so lip smacking  &amp; healthy. Every time I order from this restaurant. Best biryani in town. ,loved food lip smacking amp healthy every time order restaurant best biryani town,POSITIVE
1672,4,worldclass,worldclass,NEUTRAL
1673,3,Third class.. bad smell coming… plz dont sell such kind of food.. do you give such kind of food to your family….. return my money,third class bad smell coming plz dont sell kind food give kind food family return money,NEGATIVE
1674,5,I want to return this…,want return,POSITIVE
1675,3,I didnt like this chicken atall. Can u replace it?,didnt like chicken atall u replace,NEGATIVE
1676,1,I love all smoothies but plzzz mention the name of  smoothies on glass,love smoothy plzzz mention name smoothy glass,POSITIVE
1677,5,taste was horrible,taste horrible,NEGATIVE
1678,5,quantity,quantity,NEUTRAL
1679,5,Worst experience ever. Too small portion size with no taste at all. On top of it Zomato delivery partner don’t use the warming container to keep food safe and warm. Orders take longer than expected.,worst experience ever small portion size taste top zomato delivery partner use warming container keep food safe warm order take longer expected,POSITIVE
1680,1,  quantity was less than last time but  it's tasty as always I order it very oftenly,quantity less last time tasty always order oftenly,NEUTRAL
1681,5,3rd class food quality and taste.. <br/>couldnt eat anything to be frank. worst egg items i have ever tasted. ,rd class food quality taste br couldnt eat anything frank worst egg item ever tasted,NEGATIVE
1682,1,ontime delivery and very politeful,ontime delivery politeful,NEUTRAL
1683,5,a little too salty,little salty,NEUTRAL
1684,1,ok ok ,ok ok,POSITIVE
1685,3,The quantity of the combo is very less in compared to the normal order and there’s a taste difference also in the combo,quantity combo less compared normal order taste difference also combo,NEUTRAL
1686,1,two different items are same,two different item,NEUTRAL
1687,2,taste was not good<br/>packing was also poor ,taste good br packing also poor,NEGATIVE
1688,4,packing not good. ,packing good,POSITIVE
1689,1,pav were very dry also omelette was very dry no oil in both ,pav dry also omelette dry oil,NEUTRAL
1690,3,very Very spicy unable to eat this <br/>Money Got wasted ,spicy unable eat br money got wasted,NEGATIVE
1691,1,nice test,nice test,POSITIVE
1692,4,nice test ,nice test,POSITIVE
1693,4,food should be packed properly and health and hygiene should be taken care of while packing,food packed properly health hygiene taken care packing,POSITIVE
1694,5,very bad item ,bad item,NEGATIVE
1695,5,Just serve what you have written,serve written,NEUTRAL
1696,5,The order which I order was not delivered so very bad service very much disappointed,order order delivered bad service much disappointed,NEGATIVE
1697,3,So late delivery,late delivery,NEUTRAL
1698,4,Portion I. e quantity is less compared to item rates,portion e quantity less compared item rate,NEUTRAL
1699,1,lachko test same as khima,lachko test khima,NEUTRAL
1700,5,"Good and perfect, take special care of cooking instructions",good perfect take special care cooking instruction,POSITIVE
1701,3,full of oil,full oil,NEUTRAL
1702,1,Perfect,perfect,POSITIVE
1703,2,"Always best , healthy and fresh",always best healthy fresh,POSITIVE
1704,5,spilled food,spilled food,NEUTRAL
1705,3,Excellent and yummy,excellent yummy,POSITIVE
1706,1,did not send extra pav.,send extra pav,NEUTRAL
1707,3,Best quality .. tasty bhi healthy bhi .. best part is that Baba omelette make orders as per instructions given,best quality tasty bhi healthy bhi best part baba omelette make order per instruction given,POSITIVE
1708,5,Good keep it up,good keep,POSITIVE
1709,3,What is this item baba omlet<br/>i am not expect this very very very worst item😭😭,item baba omlet br expect worst item,NEGATIVE
1710,1,mene jo order diya vo he hi nai kisi or ka parcel bhej diya he yaar kya kese kam karte ho,mene jo order diya vo hi nai kisi ka parcel bhej diya yaar kya kese kam karte ho,NEUTRAL
1711,3,Too much spicy After instruction of less spicy,much spicy instruction less spicy,NEUTRAL
1712,3,Please make fresh food as we are not begging but we are paying whatever you ask,please make fresh food begging paying whatever ask,POSITIVE
1713,5,excellent ,excellent,POSITIVE
1714,1,roll will. be wrapped with the butter paper....,roll wrapped butter paper,NEUTRAL
1715,1,I got bad food,got bad food,NEGATIVE
1716,1,so much oily ,much oily,NEUTRAL
1717,1,too much spring onion . ,much spring onion,NEUTRAL
1718,5,Bakwass,bakwass,NEUTRAL
1719,5,ok,ok,POSITIVE
1720,5,.,,NEUTRAL
1721,5,One of the worst dish i have ever had.,one worst dish ever,NEGATIVE
1722,5,good,good,POSITIVE
1723,5,Good one.,good one,POSITIVE
1724,5,best for sweets ,best sweet,POSITIVE
1725,5,good test,good test,POSITIVE
1726,5,very faat delevery ,faat delevery,NEUTRAL
1727,1,good,good,POSITIVE
1728,5,There is no chuntney given along with samosa,chuntney given along samosa,NEUTRAL
1729,5,I have received cold samosa <br/>How can someone eat such worst quality food,received cold samosa br someone eat worst quality food,NEGATIVE
1730,1,Excellent,excellent,POSITIVE
1731,1,250,,NEUTRAL
1732,3,सुपर,स पर,NEUTRAL
1733,3,Keep this taste alive.,keep taste alive,POSITIVE
1734,1,Have not recived food,recived food,NEUTRAL
1735,1,delivery is good,delivery good,POSITIVE
1736,5,very fast delivery 🤗🤗🤗,fast delivery,NEUTRAL
1737,5,Good,good,POSITIVE
1738,1,very good ,good,POSITIVE
1739,4,stale food bad smell,stale food bad smell,NEGATIVE
1740,5,bahut bekar product se itni badbu a rahi hai aur khane mein to koi test hai nahin,bahut bekar product se itni badbu rahi hai aur khane mein koi test hai nahin,NEUTRAL
1741,3,All time our favorite♥️,time favorite,POSITIVE
1742,5,wrong quantity n not good quality ,wrong quantity n good quality,NEGATIVE
1743,5,mast test,mast test,NEUTRAL
1744,5,best ,best,POSITIVE
1745,5,nhi mila order ,nhi mila order,NEUTRAL
1746,5,Good,good,POSITIVE
1747,3,i needy refund,needy refund,NEGATIVE
1748,5,nice thanks ,nice thanks,POSITIVE
1749,1,great work thank you,great work thank,POSITIVE
1750,5,nice,nice,POSITIVE
1751,5,shiv Shakti has worst management .they gave me wrong order,shiv shakti worst management gave wrong order,NEGATIVE
1752,5,My favorite sweet 😋😋😋,favorite sweet,POSITIVE
1753,4,awesome,awesome,POSITIVE
1754,5,good food ,good food,POSITIVE
1755,1,best best,best best,POSITIVE
1756,1,good samosa,good samosa,POSITIVE
1757,5,fine,fine,POSITIVE
1758,5,i eat shiv shakti's samosa from 1995 at textile market and telling you till date it is excellent taste at ghod dod road branch also .,eat shiv shakti samosa textile market telling till date excellent taste ghod dod road branch also,POSITIVE
1759,5,"is it from shiv shakti or from some fake restaurant, doesn't taste anything like it. Rasgulla were not fresh and they were crumbling like pedda. Samosa were not good as per the price asked for.",shiv shakti fake restaurant taste anything like rasgulla fresh crumbling like pedda samosa good per price asked,POSITIVE
1760,4,very nice ,nice,POSITIVE
1761,1,it wasn't fresh at all 🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤢🤢🤢🤢🤢🤢🤢🤢🤢,fresh,POSITIVE
1762,1,"it's fully melted , it's not eatable , so you can take it back, i would like to take refund.",fully melted eatable take back would like take refund,POSITIVE
1763,5,samosas were not hot ,samosa hot,NEUTRAL
1764,5,malai ghevar was not fresh very hard,malai ghevar fresh hard,POSITIVE
1765,1,This is what’s i got didn’t get the right order,got get right order,NEUTRAL
1766,3,Glass was not packed well wasted money. They not give 99pencacke brand glass they packed loos glass third class quality of disposable glass,glass packed well wasted money give pencacke brand glass packed loo glass third class quality disposable glass,NEGATIVE
1767,2,Was charged for extra biskoff but didn’t get it,charged extra biskoff get,NEGATIVE
1768,5,Spilled pancakes wid less topings,spilled pancake wid less topings,NEUTRAL
1769,5,The way of delivering should be according to the charges applied ,way delivering according charge applied,NEUTRAL
1770,1,packing was not proper very bad packing ,packing proper bad packing,NEGATIVE
1771,5,Too much pricey.. Quantity was less,much pricey quantity less,NEUTRAL
